S.no,Title,Type,Premiere,Genre,Watchtime,Language,Origin,Watchtime in Million,Director,Cast,Rating,Popularity,Duration,Vote Avg,User Reviews,Seasons,Episodes,Target Age,Description
1,The Night Agent,TV Show,2023,Action,"812,100,000",English,USA,812.1M,Seth Gordon,Gabriel BassoLuciane BuchananFola Evans-Akingbola,7.5,289,45,111000,628,1,20,TV.MA,"Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office."
2,Ginny & Georgia,TV Show,2021,Comedy,"665,100,000",English,USA,665.1M,Sara Lempert,Brianne HoweyAntonia GentryFelix Mallard,7.5,420,55,82000,1200,2,20,TV-14,"Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller."
3,The Glory,TV Show,2022,Thriller,"622,800,000",Korean,South Korea,622.8M,Ahn Gil-ho,Song Hye-kyo ú Moon Dong-eun ; Lee Do-hyun,8.1,90,50,29000,168,1,16,TV-MA,"In her high-school days, Moon Dong Eun dreamed of becoming an architect. However, after suffering a brutally violent attack from her bullies, she is forced to drop out of school. Years later, one of the bullies gets married and has a child who attends the elementary school where Moon Dong Eun now teaches. After years of plotting, Moon Don Eun begins her plan of revenge against her former bullies--and the students who stood by and let the attack happen."
4,Wednesday,TV Show,2022,Fantasy,"507,700,000",English,USA,507.7M,Alfred Grough,Jenna OrtegaHunter DoohanEmma Myers,8.1,171,45,364000,1358,1,8,TV-14,"A sleuthing, supernaturally infused mystery charting Wednesday Addams' years as a student at Nevermore Academy. Wednesday's attempts to master her emerging psychic ability, thwart a monstrous killing spree that has terrorized the local town, and solve the supernatural mystery that embroiled her parents 25 years ago - all while navigating her new and very tangled relationships at Nevermore."
5,Queen Charlotte: A Bridgerton Story,TV Show,2023,Drama,"503,000,000",English,USA,503.0M,Tom Verica,India AmarteifioAdjoa AndohMichelle Fairley,7.5,335,58,56000,185,1,6,TV-MA,"Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch's cunning mother."
6,You,TV Show,2018-2024,Crime,"440,600,000",English,USA,440.6M,Greg Berlanti,Penn BadgleyVictoria PedrettiTati Gabrielle,7.7,121,45,301000,2000,4,40,TV-MA,"Based on Caroline Kepnes' best-selling novel of the same name, YOU is a 21st century love story that asks, ""What would you do for love?"" When a brilliant bookstore manager crosses paths with an aspiring writer, his answer becomes clear: anything. Using the internet and social media as his tools to gather the most intimate of details and get close to her, a charming and awkward crush quickly becomes obsession as he quietly and strategically removes every obstacle - and person - in his way"
7,La Reina del Sur,TV Show,2011-2023,Drama,"429,600,000","English,spanish, arabic","Maxico,USA",429.6M,Lina UribeDario VanegasRoberto Stopello,Kate del CastilloHumberto ZuritaAlejandro Calva,7.9,2204,22,3500,28,3,183,TV-MA,Teresa Mendoza returns to Mexico after 8 years to fight with Mexican drug dealers
8,Outer Banks,tV Show,2020,Drama,"402,500,000",English,USA,402.5M,Shannon BurkeJonas PateJosh Pate,Shannon BurkeJonas PateJosh Pate,7.5,216,50,81000,1000,3,30,TV-MA,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
9,FUBAR,TV Show,2023,Action,"266,200,000",English,USA,266.2M,Nick Santora ,Arnold SchwarzeneggerMonica BarbaroMilan Carter,6.5,775,55,38000,344,1,8,TV-MA,A C.I.A. operative on the edge of retirement discovers a family secret and is called back into the field for one last job.
10,Manifest,TV Show,2018-2023,Thriller,"262,600,000",English,USA,262.6M,Jeff Rake,Melissa RoxburghJosh DallasJ.R. Ramirez,7,252,43,92000,1700,4,62,TV-14,"When a commercial airliner suddenly reappears after being missing for five years, those aboard must reintegrate into society."
11,Kaleidoscope,TV Show,2023,Crime,"252,500,000",English,USA,252.5M,Everardo Gout,Giancarlo EspositoRufus SewellPaz Vega,6.6,1945,41,44000,279,1,8,TV-MA,"Centered around the largest heist ever attempted, the vengeance and betrayals that surround it"
12,Firefly Lane,TV Show,2021-2023,Drama,"251,500,000",English,USA,251.5M,Maggie Friedman,Katherine HeiglSarah ChalkeBen Lawson,7.7,1024,45,37000,462,2,26,TV-MA,"The story of Tully and Kate, two unlikely friends, from their meeting as tweens in 1984 to the present. Kate, the introvert, and Tully, the coolest girl in school, form a bond that weathers every milestone in their lives, leading up to a tragedy in the present."
13,Physical: 100,TV Show,2023,Reality-Show,"235,000,000",Korean,S.Korea,235.0M,Jang Ho -gi,Beom-Seok HongAndre JinKim Min-su,7.7,1713,50,11000,118,2,18,TV-14,One hundred contestants in top physical shape compete in a series of grueling challenges to claim the honor - and cash reward - as the last one standing.
14,Love Is Blind,TV Show,2021-2024,Reality-Show,"229,700,000",English,USA,229.7M,Brian Smith,Nick LacheyVanessa LacheyMicah Lussier,6.2,2106,48,1100,187,6,84,TV-MA,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less-conventional approach to modern dating."
15,Beef,TV Show,2023,Comedy,"221,100,000",English,USA,221.1M,"
Lee Sung Jin","
Steven YeunAli WongJoseph Lee",8,458,48,137000,508,1,10,TV-MA,"After an incident in a parking lot, road rage ensues resulting in a bitter feud between the two antagonists. The vendetta between them and the lengths they'll go to avenge themselves on the other spirals out of control, jeopardising everything and everyone in their lives."
16,The Diplomat,TV Show,2023,Drama,"214,100,000",English,UK,214.1M,Debora Cahn,Keri RussellRufus SewellDavid Gyasi,8,468,50,59000,453,1,8,TV-MA,"In the midst of an international crisis, Kate Wyler, a career diplomat, lands in a high-profile job for which she is not suited, with tectonic implications for her marriage and her political future."
17,Vikings: Valhalla,TV Show,2022-2023,History,"205,500,000",English,USA,205.5M,Niels Arden Oplev,"
David OakesSam CorlettLeo Suter",7.3,449,51,57000,729,2,16,TV-MA,"Vikings: Valhalla"" begins in the early 11th century and chronicles the legendary adventures of some of the most famous Vikings who ever lived: Leif Eriksson, Freydis Eriksdotter, Harald Hardrada, and the Norman King William the Conqueror. These men and women blaze a path as they fight for survival in the ever-changing, evolving world"
18,"XO, Kitty",TV Show,2023,Comedy,"200,700,000",English,USA,200.7M,Jenny Han,Anna CathcartMinyeong ChoiGia Kim,6.5,1292,30,14000,112,1,10,TV-14,"Teen matchmaker Kitty Song Covey thinks she knows everything there is to know about love. But when she moves halfway across the world to reunite with her long-distance boyfriend, she'll soon realize that relationships are a lot more complicated when it's your own heart on the line."
19,Shadow and Bone,TV Show,2021-2023,Fantasy,"192,900,000",English,USA,192.9M,Eric Heisserer,Jessie Mei LiBen BarnesArchie Renaux,7.5,690,60,115000,1100,2,16,TV-14,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
